low,high,count
0.0,10.0,0
10.0,20.0,0
20.0,30.0,0
30.0,40.0,0
40.0,50.0,0
50.0,60.0,0
60.0,70.0,0
70.0,80.0,3
80.0,90.0,1
90.0,100.0,7
100.0,110.0,5
110.0,120.0,18
120.0,130.0,33
130.0,140.0,73
140.0,150.0,133
150.0,160.0,228
160.0,170.0,261
170.0,180.0,207
180.0,190.0,108
190.0,200.0,50
200.0,210.0,41
210.0,220.0,39
220.0,230.0,41
230.0,240.0,46
240.0,250.0,36
250.0,260.0,26
260.0,270.0,27
270.0,280.0,35
280.0,290.0,20
290.0,300.0,22
300.0,310.0,17
310.0,320.0,17
320.0,330.0,16
330.0,340.0,12
340.0,350.0,9
350.0,360.0,8
360.0,370.0,11
370.0,380.0,5
380.0,390.0,6
390.0,400.0,2
400.0,410.0,2
410.0,420.0,7
420.0,430.0,4
430.0,440.0,4
440.0,450.0,7
450.0,460.0,3
460.0,470.0,4
470.0,480.0,1
480.0,490.0,3
490.0,500.0,2
500.0,510.0,2
510.0,520.0,3
520.0,530.0,0
530.0,540.0,2
540.0,550.0,3
550.0,560.0,4
560.0,570.0,3
570.0,580.0,1
580.0,590.0,1
590.0,600.0,1
