event_id,sample,process,process_role,m_gammagamma,n_electrons,n_muons,n_leptons,n_jets,n_jets_central,n_jets_forward,n_bjets,n_bjets_central,ht_jets,lead_jet_pt,sublead_jet_pt,met,pt_gg,delta_r_gg,photon_ti,partition,bdt_score,category,significance_model_weight_36fb
ggH|343981|284500|4566565,ggH,ggH,resonant_higgs,123.76386482691345,0,0,0,3,3,0,1,1,123.0715560913086,63.112979888916016,32.449859619140625,28.715309143066406,263.8664813965537,1.4279066433832701,False,val,0.7492200395780108,ttH_had_BDT2,0.0
ggH|343981|284500|4555630,ggH,ggH,resonant_higgs,124.90852607296456,0,0,0,3,3,0,1,1,155.50250434875488,86.98810577392578,42.06332778930664,6.948750019073486,121.34768981175328,1.8980849581198096,True,train,0.24502436849472958,unassigned,0.022072388657575378
ggH|343981|284500|4557358,ggH,ggH,resonant_higgs,123.84194279419846,0,0,0,4,4,0,1,1,168.76901626586914,49.4322395324707,47.20235824584961,17.406225204467773,109.06521446155189,2.175578704692889,False,train,0.4171749204549107,ttH_had_BDT3,0.0
ggH|343981|284500|4562805,ggH,ggH,resonant_higgs,126.01751019170895,0,0,0,3,3,0,1,1,87.7805347442627,31.052597045898438,29.079381942749023,4.4386444091796875,86.1952706026655,2.503065679156661,True,train,0.054497449958085795,unassigned,0.023968876045891926
ggH|343981|284500|4555894,ggH,ggH,resonant_higgs,123.04754008998825,0,0,0,3,3,0,2,2,235.20146942138672,130.3124237060547,71.57191467285156,15.639619827270508,197.65615513211938,1.527516573944774,True,train,0.42793466523757095,ttH_had_BDT3,0.019101447112200843
ggH|343981|284500|4563625,ggH,ggH,resonant_higgs,125.61170000006206,0,0,0,3,3,0,1,1,364.35823822021484,148.18931579589844,117.41100311279297,45.48717498779297,169.3266414582954,1.3709205247108254,False,test,0.3964285902467241,ttH_had_BDT3,0.0
ggH|343981|284500|4563517,ggH,ggH,resonant_higgs,124.47244928912852,0,0,0,3,3,0,2,2,197.26718139648438,84.7762222290039,59.88294982910156,22.463239669799805,189.25103567131498,1.2470549937402358,True,train,0.5702902048130881,ttH_had_BDT3,0.01942829835100339
ggH|343981|284500|4386969,ggH,ggH,resonant_higgs,123.0528709047864,0,0,0,3,3,0,1,1,127.03976249694824,57.79659652709961,41.10299301147461,26.274770736694336,145.5809528058768,1.4364667145478538,True,test,0.3844662055943185,ttH_had_BDT3,0.01293409622220103
ggH|343981|284500|4385199,ggH,ggH,resonant_higgs,121.82486726239742,0,0,0,4,4,0,1,1,144.5881462097168,38.60659408569336,38.0912971496582,78.40774536132812,84.10045401366158,2.607430187258782,True,train,0.39621690193291365,ttH_had_BDT3,0.0
ggH|343981|284500|4999828,ggH,ggH,resonant_higgs,121.28446528867862,0,0,0,4,4,0,1,1,219.82592010498047,109.87081909179688,41.511871337890625,37.490631103515625,200.0060718270582,1.178936655814509,True,train,0.7571521111275272,ttH_had_BDT2,0.0
