n_jets,n_btags,ht,met,n_central_jets
2,1,190.45356271302526,179.55007061125903,8
6,0,563.1480016841283,99.83013681274085,4
9,2,833.1791985747194,69.66026324436692,4
3,3,225.7251732299017,119.45204078909619,4
3,2,174.94725109109976,120.1231148745775,3
4,0,723.2212259110015,149.68915714322955,3
9,1,639.3827720988056,5.602776589706049,7
4,3,845.5576135442291,32.97582994521846,7
0,1,934.400981813244,146.51047894019098,2
1,4,821.2061446199097,107.4597572041132,0
1,4,868.7474892403,28.1042607248847,1
7,2,71.6372616921549,81.93448450518817,7
5,2,385.8172685693165,122.74209275895811,4
4,1,583.2909375341709,36.930851233037586,2
5,3,48.99499005261565,35.896465000559544,1
2,0,180.21916969680396,28.790138006024833,1
1,3,702.9212190750206,62.1784735259244,7
5,4,745.6995673873257,132.13546858033382,3
3,2,491.99929516143095,2.084552969211173,3
9,2,197.98987502189368,22.241137807126023,1
3,2,169.50406113762128,184.80646585505082,2
6,2,427.4181273550235,139.64037599690965,3
8,4,544.8716482427943,108.82035724522522,8
1,3,798.0211340940643,101.42989311353352,2
3,4,681.2384338628947,104.89550188851983,8
8,4,358.47374976098945,123.65990039326434,3
7,2,96.18675222803385,115.72414386574596,3
0,4,990.13512414058,31.61982760181694,2
7,2,618.223285659749,162.18824763799535,5
9,4,887.8039063760915,160.40769291915655,3
3,1,366.427551426982,14.201761093128408,8
8,4,172.39091767654912,11.215215688365877,9
8,4,681.72510698642,123.17567497276019,4
0,3,841.4473260618366,72.7355197826588,3
5,2,178.98956344371854,183.8485216990595,1
0,3,637.2042163965222,21.511004282984757,5
5,3,776.2388827340233,160.57414558734288,9
5,2,730.1435746557981,9.07919942727804,7
4,3,927.8315287528701,52.59728556755348,0
9,3,56.68805371780583,94.25448380874847,2
7,4,836.9570557443589,105.32512644329273,3
5,0,821.5038652691637,66.34815878514277,0
8,1,23.31193370769846,147.9730908110429,3
0,2,713.419618895802,76.33601875973906,2
8,3,471.19455606443563,197.67311687742662,9
4,1,941.6482701977853,40.138022496822366,7
8,4,115.42516910545142,57.57950611981953,7
2,4,719.1385895030332,182.348652880656,1
1,4,462.56880341331794,1.6329982500980167,4
3,3,996.8376430201922,104.57732388233258,2
5,0,626.3967967009804,30.36697699384323,1
5,1,575.7076732121134,17.94780633373105,5
3,1,684.313852857974,147.07509552670118,6
8,1,320.61114835647544,106.79844341557146,0
2,4,499.4982643638095,123.25939523992366,0
4,1,662.1738392314314,97.78825770044715,7
3,4,160.96389515770238,23.853321723463218,7
0,4,215.68411692088185,97.89691395023618,2
3,1,178.3010082040266,199.90512149866464,2
3,2,878.6384049045282,144.73460447846477,6
7,1,268.21121875589773,20.715513013952002,8
9,3,601.0853566620763,9.08454009038917,6
0,0,525.6240243406983,111.04655085248265,8
9,2,33.23041331545229,40.36391315780021,0
6,2,370.19225502442043,190.8062795838016,9
2,3,515.3274701857749,84.17963638254047,0
4,0,179.1280729674819,18.80658756111766,6
0,3,749.146794027372,2.7154146617763164,9
4,1,458.88743167889936,75.34021865078373,1
3,2,449.34206794039443,156.5746636120597,7
3,4,136.7407605089166,0.41277893466225013,8
9,2,609.1334810618159,175.45284863678077,9
8,4,168.52449821979278,117.6072650446367,5
9,3,61.015694302734566,106.89165126249173,8
7,1,174.9911090726717,110.10010598533613,9
0,2,668.4738988936359,198.30277156173014,2
3,2,470.214491567275,186.37996897658417,0
9,4,556.7564256226851,78.3547601672744,8
7,0,193.61111349377592,73.52617408277906,0
0,3,352.5180266677338,68.30029742702663,1
4,1,85.53035705380496,149.41825151249867,3
8,3,503.24718617705486,90.63280570302285,5
2,4,591.0816830626007,59.85932396750562,3
0,1,451.02166170088964,70.33096995300421,9
2,0,818.7224617622677,47.955772569072884,8
7,2,129.39152212294326,112.04452795553772,4
0,0,848.3732100053913,182.76867745916684,1
0,3,310.38163007868934,54.61401346824566,0
1,4,499.7480065777605,75.35545374912698,8
8,3,66.10391402049254,67.61591626418702,9
2,1,574.6591695036293,183.9608889771936,6
0,1,21.37169761916635,154.1469745183533,7
0,1,844.5746957097141,68.56724006037594,3
9,4,779.8613448568152,176.65656905991426,6
6,0,345.86179356706583,97.08227564356393,9
7,4,734.1964328202358,116.84025824426077,1
2,4,816.2699311474622,140.32945083901444,0
1,0,580.023449392313,64.59391757028794,8
2,4,137.55925003842086,174.89346662200015,5
2,4,31.082723694030314,48.3564239456969,2
9,3,591.0356636816664,52.43525944140934,4
6,2,316.7568028812754,99.0993047348324,1
6,3,782.9109241466658,83.73209039702559,5
1,3,504.4010004117594,117.3142310757957,4
9,3,95.56666617659415,82.23377768529619,7
3,4,389.36988865123936,197.30197580225484,0
1,0,773.9206059094051,189.00139299848078,4
6,3,754.0469171859083,138.8463983382354,0
1,2,994.8590712100374,185.7941568584849,0
4,0,815.7609464972004,129.88611910622387,1
1,3,95.13697248421981,51.3986776254584,8
5,3,914.2732798223813,34.33887446915209,2
2,0,942.5460172092191,75.40099721522886,9
5,4,731.2557138509144,95.38496732636614,2
2,1,888.6019868373554,23.505348886107868,3
