event_id,sample,weight,xsec,kfac,filteff,sum_weights,mgg,n_lep,n_jets,n_central_jets,n_btags,ht,met,channel,is_ti,bdt_score,category
0,ggH,1.0,1.0,1.0,1.0,1000.0,126.17714819380075,0,2,8,1,190.45356271302526,179.55007061125903,hadronic,True,0.87123847,ttH_had_BDT1
1,ggH,1.0,1.0,1.0,1.0,1000.0,123.86821374826295,0,6,4,0,563.1480016841283,99.83013681274085,hadronic,True,0.44703814,ttH_had_BDT1
2,ggH,1.0,1.0,1.0,1.0,1000.0,123.53604699993873,0,9,4,2,833.1791985747194,69.66026324436692,hadronic,True,0.2821817,ttH_had_BDT1
3,ggH,1.0,1.0,1.0,1.0,1000.0,123.96858241430112,0,3,4,3,225.7251732299017,119.45204078909619,hadronic,True,0.3208017,ttH_had_BDT1
4,ggH,1.0,1.0,1.0,1.0,1000.0,125.19774801736949,0,3,3,2,174.94725109109976,120.1231148745775,hadronic,True,0.43441823,ttH_had_BDT1
5,ggH,1.0,1.0,1.0,1.0,1000.0,123.56792263471968,0,4,3,0,723.2212259110015,149.68915714322955,hadronic,True,0.54332197,ttH_had_BDT1
6,ggH,1.0,1.0,1.0,1.0,1000.0,123.34294066767791,0,9,7,1,639.3827720988056,5.602776589706049,hadronic,False,0.24265364,ttH_had_BDT1
7,ggH,1.0,1.0,1.0,1.0,1000.0,123.38309425118568,0,4,7,3,845.5576135442291,32.97582994521846,hadronic,False,0.6488465,ttH_had_BDT1
8,ggH,1.0,1.0,1.0,1.0,1000.0,125.46612798117216,0,0,2,1,934.400981813244,146.51047894019098,hadronic,False,0.62620264,ttH_had_BDT1
9,ggH,1.0,1.0,1.0,1.0,1000.0,125.01885789482664,0,1,0,4,821.2061446199097,107.4597572041132,hadronic,True,0.8992852,ttH_had_BDT1
10,ggH,1.0,1.0,1.0,1.0,1000.0,124.41943305544541,0,1,1,4,868.7474892403,28.1042607248847,hadronic,False,0.40175888,ttH_had_BDT1
11,ggH,1.0,1.0,1.0,1.0,1000.0,124.77084425221197,0,7,7,2,71.6372616921549,81.93448450518817,hadronic,False,0.33647716,ttH_had_BDT1
12,ggH,1.0,1.0,1.0,1.0,1000.0,123.78175189978266,0,5,4,2,385.8172685693165,122.74209275895811,hadronic,False,0.42626575,ttH_had_BDT1
13,ggH,1.0,1.0,1.0,1.0,1000.0,126.31072952201775,0,4,2,1,583.2909375341709,36.930851233037586,hadronic,False,0.32907644,ttH_had_BDT1
14,ggH,1.0,1.0,1.0,1.0,1000.0,127.31765956111916,0,5,1,3,48.99499005261565,35.896465000559544,hadronic,False,0.39636415,ttH_had_BDT1
15,ggH,1.0,1.0,1.0,1.0,1000.0,125.90192602683442,0,2,1,0,180.21916969680396,28.790138006024833,hadronic,False,0.8120507,ttH_had_BDT1
16,ggH,1.0,1.0,1.0,1.0,1000.0,123.79750667793896,0,1,7,3,702.9212190750206,62.1784735259244,hadronic,False,0.63919264,ttH_had_BDT1
17,ggH,1.0,1.0,1.0,1.0,1000.0,124.09789445812658,0,5,3,4,745.6995673873257,132.13546858033382,hadronic,False,0.51605916,ttH_had_BDT1
18,ggH,1.0,1.0,1.0,1.0,1000.0,125.56583427394946,0,3,3,2,491.99929516143095,2.084552969211173,hadronic,False,0.54640085,ttH_had_BDT1
19,ggH,1.0,1.0,1.0,1.0,1000.0,125.02283919163399,0,9,1,2,197.98987502189368,22.241137807126023,hadronic,True,0.71998024,ttH_had_BDT1
20,ggH,1.0,1.0,1.0,1.0,1000.0,124.54410549338478,0,3,2,2,169.50406113762128,184.80646585505082,hadronic,False,0.5012939,ttH_had_BDT1
21,ggH,1.0,1.0,1.0,1.0,1000.0,125.39258785402944,0,6,3,2,427.4181273550235,139.64037599690965,hadronic,True,0.38580093,ttH_had_BDT1
22,ggH,1.0,1.0,1.0,1.0,1000.0,125.68312477951437,0,8,8,4,544.8716482427943,108.82035724522522,hadronic,True,0.58846545,ttH_had_BDT1
23,ggH,1.0,1.0,1.0,1.0,1000.0,123.95553987118376,0,1,2,3,798.0211340940643,101.42989311353352,hadronic,False,0.573154,ttH_had_BDT1
24,ggH,1.0,1.0,1.0,1.0,1000.0,126.11399855322811,0,3,8,4,681.2384338628947,104.89550188851983,hadronic,True,0.70973206,ttH_had_BDT1
25,ggH,1.0,1.0,1.0,1.0,1000.0,124.62540965638578,0,8,3,4,358.47374976098945,123.65990039326434,hadronic,False,0.31889796,ttH_had_BDT1
26,ggH,1.0,1.0,1.0,1.0,1000.0,125.2331210883562,0,7,3,2,96.18675222803385,115.72414386574596,hadronic,False,0.5820831,ttH_had_BDT1
27,ggH,1.0,1.0,1.0,1.0,1000.0,123.72664246750723,0,0,2,4,990.13512414058,31.61982760181694,hadronic,True,0.08479223,unassigned
28,ggH,1.0,1.0,1.0,1.0,1000.0,124.45175509115255,0,7,5,2,618.223285659749,162.18824763799535,hadronic,True,0.41332304,ttH_had_BDT1
29,ggH,1.0,1.0,1.0,1.0,1000.0,125.01582772401598,0,9,3,4,887.8039063760915,160.40769291915655,hadronic,True,0.41907716,ttH_had_BDT1
30,ggH,1.0,1.0,1.0,1.0,1000.0,126.1632962264746,0,3,8,1,366.427551426982,14.201761093128408,hadronic,False,0.8165073,ttH_had_BDT1
31,ggH,1.0,1.0,1.0,1.0,1000.0,124.36702573741756,0,8,9,4,172.39091767654912,11.215215688365877,hadronic,True,0.61129165,ttH_had_BDT1
32,ggH,1.0,1.0,1.0,1.0,1000.0,125.37606258917636,0,8,4,4,681.72510698642,123.17567497276019,hadronic,False,0.59823465,ttH_had_BDT1
33,ggH,1.0,1.0,1.0,1.0,1000.0,124.0572864773674,0,0,3,3,841.4473260618366,72.7355197826588,hadronic,False,0.5570414,ttH_had_BDT1
34,ggH,1.0,1.0,1.0,1.0,1000.0,125.4087715039202,0,5,1,2,178.98956344371854,183.8485216990595,hadronic,True,0.4222192,ttH_had_BDT1
35,ggH,1.0,1.0,1.0,1.0,1000.0,123.95264807458284,0,0,5,3,637.2042163965222,21.511004282984757,hadronic,False,0.7221355,ttH_had_BDT1
36,ggH,1.0,1.0,1.0,1.0,1000.0,126.89188514185,0,5,9,3,776.2388827340233,160.57414558734288,hadronic,True,0.7277353,ttH_had_BDT1
37,ggH,1.0,1.0,1.0,1.0,1000.0,125.81027125525553,0,5,7,2,730.1435746557981,9.07919942727804,hadronic,True,0.66789794,ttH_had_BDT1
38,ggH,1.0,1.0,1.0,1.0,1000.0,122.85926629919594,0,4,0,3,927.8315287528701,52.59728556755348,hadronic,False,0.18181121,unassigned
39,ggH,1.0,1.0,1.0,1.0,1000.0,124.66035022492532,0,9,2,3,56.68805371780583,94.25448380874847,hadronic,False,0.29167932,ttH_had_BDT1
40,ggH,1.0,1.0,1.0,1.0,1000.0,126.15052785025833,0,7,3,4,836.9570557443589,105.32512644329273,hadronic,True,0.42510194,ttH_had_BDT1
41,ggH,1.0,1.0,1.0,1.0,1000.0,126.0313973222667,0,5,0,0,821.5038652691637,66.34815878514277,hadronic,False,0.8570308,ttH_had_BDT1
