event_id,process,m_gammagamma,channel,n_leptons,n_jets,n_central_jets,n_bjets,h_pT,h_eta,m_jets,event_weight,sm_weight
1,WH,126.03086614490081,leptonic_bookkeeping,1,3,3,1,0.0,0.0,0.0,1.0,1.0
2,ggZH,124.26365811731291,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
5,ZH,126.44300492471729,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,1.0
6,VBF,126.36019011194621,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,0.0
7,ZH,126.9252825799994,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
13,WH,123.86740454079445,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
14,ggH,127.59879362852898,leptonic_bookkeeping,1,3,3,1,0.0,0.0,0.0,1.0,1.0
17,ZH,126.70024116424771,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
19,data_GamGam,104.22496785097263,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,0.0
22,VBF,132.5586780824546,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,0.0
28,ggH,125.96243545685626,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
32,WH,127.61095761430866,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
33,ggZH,125.04200768326552,hadronic,0,4,4,1,0.0,0.0,0.0,1.0,1.0
34,ggZH,125.89101380256277,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
39,VBF,115.95627549785434,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
41,ttH,124.10514395148373,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
42,VBF,129.88991119875357,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,0.0
48,ttH,124.24188470763536,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
49,tH,122.8808417075667,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,1.0
52,ZH,125.29040812057092,hadronic,0,1,1,0,0.0,0.0,0.0,1.0,1.0
58,ZH,125.95916184886617,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
59,ggZH,128.16606158791308,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
61,tH,122.0955919130582,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
64,ttH,123.5633931676585,hadronic,0,1,1,0,0.0,0.0,0.0,1.0,1.0
65,data_GamGam,128.09390970648275,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
67,VBF,152.01962560069143,hadronic,0,4,4,3,0.0,0.0,0.0,1.0,0.0
69,tH,127.63153301656432,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
70,ggH,121.49378590612356,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
71,data_GamGam,107.06506497340847,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,0.0
