event_id,sample,m_gammagamma,n_jets,n_btags,ht,pt_gammagamma,m_jjj,is_signal,weight,sm_weight,partition,bdt_score,n_leptons,n_central_jets,category,significance_model_weight_36fb,observed_data_weight
ttH_0,ttH,125.99342830602248,6,1,486.1735698828815,108.37123876600413,480.8412227845221,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_1,ttH,123.83824373195296,6,2,447.4830192821853,87.15861807471296,340.6074530304662,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_2,ttH,123.5933123965852,7,2,286.0379343923761,81.98083930243585,376.6645000165379,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_3,ttH,123.7965867755412,5,1,685.2278184508938,106.26590785014268,243.22639008961795,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_4,ttH,122.34362790220314,10,2,519.6861235869123,69.72743971404677,273.336462917049,1,1.0,1.0,val,0.98,0,4,ttH_had_BDT1,36.0,0.0
ttH_5,ttH,126.54740083366735,6,1,446.185833833704,117.46368384139116,471.0198767674686,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_6,ttH,126.78866466021752,5,1,575.4997797244736,94.66803636188034,367.169335305096,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_7,ttH,127.3594326894014,8,2,410.17920605443214,21.40764687730767,465.7522003500179,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_8,ttH,125.17409413647634,7,1,470.0992649534133,93.6351573486512,365.8504964768222,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_9,ttH,126.0028966630496,10,2,615.8186652932028,88.23675540603527,282.9188041494305,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_10,ttH,125.59224055412916,3,1,526.1055272179889,88.1345064525912,376.86905148240464,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_11,ttH,125.90587265306702,9,2,483.39390916489344,101.8069062982308,597.059368998823,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_12,ttH,124.61527807043775,6,1,530.1547342333613,75.94516469950918,510.7212575146143,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_13,ttH,127.81041061175638,6,2,639.2325753491903,102.98954095262924,359.7219476707041,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_14,ttH,121.89867313786772,8,2,506.85629748060273,124.40551652109008,301.5308546852836,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_15,ttH,125.45491986920824,5,1,630.7142754282428,138.98190442793464,330.62830751603576,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_16,ttH,126.2352816910223,4,2,621.7070796980111,108.79217419896044,342.85188655789057,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_17,ttH,128.7315490222895,7,2,547.3832920911788,92.63835651991388,339.7011068514008,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_18,ttH,123.22097114074896,11,2,418.4189715034562,101.2594019341007,389.0182546321747,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_19,ttH,124.75173522223668,10,2,574.0340817947739,106.92861168835398,335.2850486887711,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_20,ttH,127.11484701772476,12,2,505.1360859479635,106.96888474529214,414.0944737641857,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_21,ttH,122.69486925667997,5,2,349.9231606792826,87.56404583830326,406.4158970032652,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_22,ttH,123.21375945274156,7,2,466.51827526052665,171.67107872177388,547.4731006656426,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_23,ttH,127.7268709819034,8,1,582.8765977604875,115.14961836941372,469.2604155336097,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_24,ttH,122.59940718588844,6,2,466.5498764159052,163.664685910379,482.5972208440917,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_25,ttH,121.96126006809196,5,2,451.5765927133749,113.31458284438683,461.9707242743469,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_26,ttH,123.14613905684384,6,2,494.04746439382,96.14763560380877,362.7468182996363,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_27,ttH,125.1170178046137,6,1,734.7996928450323,119.41488090361132,410.0875862259224,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_28,ttH,121.20524603502268,10,2,628.0540761677464,108.42975603205096,350.1840384143525,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_29,ttH,124.58375549928545,5,1,450.6999065341168,128.56033281540084,516.2040197969897,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_30,ttH,125.72402782388494,9,1,558.1314134035724,146.58579327517975,364.8385699620578,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_31,ttH,124.1841692944574,9,1,526.1623055972466,109.72499057465326,389.5885556505853,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_32,ttH,125.19399192998544,8,1,559.5157025436913,79.02560265724247,399.2946363003354,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_33,ttH,120.81996450273944,6,1,677.0431516566719,107.34899713326168,359.4445459703096,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_34,ttH,124.05792338876336,6,2,523.2049937357637,38.88772195083583,525.6025824434138,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_35,ttH,124.39535151584738,5,2,499.5437171009704,138.13414677942745,461.6690481171232,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_36,ttH,125.9853729676008,8,1,508.8873006131744,102.08957993556638,478.6803445086772,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_37,ttH,125.94725477545514,10,2,505.43505779385714,56.414516227829175,462.7205128731335,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_38,ttH,124.6845520834918,5,2,364.4942044482068,117.14042530980365,477.64190560105686,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_39,ttH,126.48392603305894,6,1,647.6658625429629,135.3832036216386,362.4659478316236,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_40,ttH,121.57373094181824,9,1,635.3872374165413,67.97138711852216,388.6096411982965,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
